record_id,state,district,year,population,gdp_million,unemployment_rate,literacy_rate,public_health_expenditure_million,crime_rate_per_100k
41,Jharkhand,District_36,2021,1545752,71996.94,17.55,70.63,3144.75,884.9
42,West Bengal,District_197,2018,1219919,52104.66,5.49,77.2,5663.99,227.12
43,West Bengal,District_158,2010,2807322,4503.87,10.13,75.32,7298.9,1089.46
44,Meghalaya,District_204,2023,605854,64897.88,7.91,43.14,9665.17,890.84
45,Manipur,District_196,2010,149210,74832.77,10.04,69.0,696.24,34.79
46,Jammu & Kashmir,District_216,2010,1183125,66355.5,8.07,88.54,4195.14,1142.95
47,Jammu & Kashmir,District_285,2019,1232017,58206.04,8.96,88.14,6636.81,1247.75
48,Manipur,District_196,2016,1200294,12018.13,19.88,70.43,49.79,1161.97
49,Jammu & Kashmir,District_152,2020,343325,27926.5,7.85,97.14,4890.38,265.32
50,Odisha,District_14,2018,1854636,45227.3,20.46,89.57,8065.34,754.25
51,Kerala,District_146,2012,1963942,6158.09,14.41,84.24,508.81,791.4
52,Tamil Nadu,District_57,2017,790578,8510.55,19.62,70.94,3405.53,1401.6
53,Punjab,District_211,2018,2452564,74740.97,23.01,75.44,4009.24,1388.48
54,Tripura,District_268,2012,1262379,56218.27,3.89,53.39,7162.88,94.36
55,Assam,District_210,2021,419787,22014.21,8.93,71.94,2957.26,1498.8
56,Chhattisgarh,District_17,2021,301630,26195.55,1.86,71.56,2462.75,1180.25
57,Odisha,District_286,2012,224508,30760.5,10.47,52.17,1155.13,563.92
58,Gujarat,District_203,2024,590923,6014.95,6.32,97.07,9958.8,1115.18
59,Rajasthan,District_99,2010,2233349,59136.77,14.51,54.69,4716.71,565.6
60,Himachal Pradesh,District_279,2011,2150966,14154.95,19.69,46.25,482.21,1404.48
61,Gujarat,District_209,2016,652429,64411.55,12.42,68.02,765.42,567.79
62,Nagaland,District_129,2012,941822,67671.34,8.67,81.16,1279.63,1149.38
63,Bihar,District_288,2016,67363,51078.35,4.24,51.71,2117.52,233.76
64,Tripura,District_252,2014,2075301,61590.7,1.16,50.97,7404.28,1278.62
65,West Bengal,District_265,2019,2145314,13755.09,17.11,55.69,5586.93,931.05
66,Maharashtra,District_271,2017,252364,46079.36,1.25,58.16,7766.62,1211.59
67,Nagaland,District_188,2014,656371,54147.18,23.06,54.77,198.28,627.52
68,Uttar Pradesh,District_214,2012,536878,52928.23,15.06,68.24,2651.23,520.13
69,Himachal Pradesh,District_283,2018,2399146,9392.02,9.16,41.1,4055.32,799.4
70,Uttar Pradesh,District_211,2024,410350,27557.15,1.53,45.25,4290.19,582.9
71,Rajasthan,District_76,2016,397235,26009.75,10.63,83.76,535.7,771.71
72,Arunachal Pradesh,District_148,2014,816662,45806.42,21.75,64.74,5115.25,646.54
73,Punjab,District_213,2016,2903642,61221.32,24.26,61.62,2866.31,295.77
74,West Bengal,District_109,2020,1133413,45651.52,2.58,40.63,1914.81,1464.97
75,Manipur,District_129,2019,2355055,60388.65,19.54,57.89,6711.65,25.11
76,West Bengal,District_10,2018,726180,7926.42,6.83,89.27,838.59,1388.55
77,Gujarat,District_47,2014,1354054,70252.31,9.8,60.42,8670.09,1241.26
78,Kerala,District_96,2016,2145677,42934.0,13.92,97.82,8998.26,631.93
79,Delhi,District_103,2020,131681,3009.52,24.87,63.4,3255.43,483.82
80,Haryana,District_146,2018,2077602,51460.61,5.62,67.85,9869.0,247.86
81,Manipur,District_27,2010,1662058,41392.6,3.7,88.11,4012.73,200.46
82,Assam,District_220,2013,2785955,17637.36,15.08,98.98,9623.16,826.83
83,Maharashtra,District_18,2010,795404,61156.39,21.4,62.3,9868.79,159.03
84,Mizoram,District_167,2017,2167088,74686.12,16.38,47.2,8269.12,715.23
85,Bihar,District_82,2012,2050295,25821.45,9.02,71.38,1248.39,1222.25
86,Nagaland,District_72,2011,114877,39518.32,24.44,75.51,5844.23,1135.77
87,Haryana,District_254,2023,296663,10262.72,24.88,97.57,7319.23,199.64
88,Bihar,District_162,2013,2466713,74384.68,19.38,64.84,774.74,1441.65
89,Arunachal Pradesh,District_38,2020,2068564,25510.5,20.16,45.45,8936.43,429.97
90,Jammu & Kashmir,District_201,2012,478130,15590.83,19.14,79.06,8518.06,1058.83
91,Goa,District_200,2020,291876,38279.51,6.81,41.27,9338.57,451.44
92,Sikkim,District_255,2014,678033,3472.17,4.18,65.53,5143.01,926.52
93,Jharkhand,District_179,2024,80909,20234.42,14.08,64.58,3243.11,859.16
94,Bihar,District_35,2022,253271,5421.94,23.88,55.29,5063.5,268.3
95,Sikkim,District_82,2017,1059296,10198.42,22.02,97.86,7293.58,979.19
96,Delhi,District_220,2019,907275,8981.48,3.12,64.2,4162.11,489.68
97,Nagaland,District_158,2017,2154092,69794.87,1.9,93.68,3517.69,917.11
98,Uttar Pradesh,District_4,2020,601050,74435.48,21.91,70.91,770.65,812.52
99,Kerala,District_167,2016,1253160,37967.03,15.52,89.23,4472.42,1264.14
100,Arunachal Pradesh,District_204,2017,2271243,50437.06,7.96,67.08,3928.96,321.17
101,Jharkhand,District_194,2022,500019,55675.19,14.26,99.49,6632.96,227.97
102,Jammu & Kashmir,District_235,2022,614121,31311.15,5.93,78.4,4387.51,1282.49
103,Bihar,District_206,2014,1987667,29623.14,23.7,49.36,40.49,667.37
104,Maharashtra,District_150,2019,1931479,54048.77,20.77,40.39,4843.59,1172.98
105,Meghalaya,District_159,2019,1935177,30143.39,24.07,95.73,7737.17,1439.4
106,Manipur,District_279,2020,2764483,46484.95,5.08,81.21,9453.05,816.95
107,Haryana,District_166,2021,473259,41220.27,21.17,46.38,1929.64,451.72
108,Maharashtra,District_68,2020,787277,41961.6,14.23,84.61,4225.42,1191.55
109,Tamil Nadu,District_88,2022,948228,66350.42,8.46,53.63,8474.62,1396.48
110,West Bengal,District_217,2015,2976286,56327.53,12.25,88.55,428.56,368.48
111,Tripura,District_1,2017,1918702,76855.01,23.64,76.6,3499.02,1032.83
112,Jammu & Kashmir,District_135,2024,1831550,63280.22,17.44,47.42,5910.85,1171.1
113,Haryana,District_185,2022,882742,11671.94,9.32,44.26,3425.23,40.82
114,Rajasthan,District_140,2010,584443,59081.28,25.0,67.97,4893.91,888.81
115,Meghalaya,District_106,2015,1182067,53255.15,8.97,96.21,9391.08,950.11
116,Madhya Pradesh,District_133,2015,671468,51687.06,20.44,73.88,239.36,955.18
117,Nagaland,District_108,2024,2704053,38464.76,19.72,85.55,779.24,127.08
118,Manipur,District_178,2020,992215,5006.49,18.21,68.17,1969.71,33.51
119,Rajasthan,District_298,2022,61938,76119.27,16.9,63.04,3849.05,441.25
120,Telangana,District_146,2014,630451,68155.46,3.16,89.33,4707.95,537.39
121,Uttar Pradesh,District_74,2013,233861,38949.77,24.88,67.8,366.81,217.79
122,Tripura,District_108,2010,547039,12694.89,4.45,48.49,8825.67,764.87
123,West Bengal,District_122,2020,2303970,65959.57,15.11,56.47,7585.92,342.09
124,West Bengal,District_17,2019,1348110,34459.42,6.6,73.68,2680.18,506.96
125,West Bengal,District_196,2020,2465509,31215.21,4.64,64.15,2567.76,439.94
126,Madhya Pradesh,District_297,2017,2210864,53233.92,14.21,61.98,255.95,1158.28
127,Himachal Pradesh,District_252,2015,65403,60696.45,20.99,80.13,3991.38,1315.74
128,Delhi,District_119,2012,818291,5036.63,9.74,78.18,2544.88,448.41
129,Manipur,District_162,2021,1527251,61406.84,2.39,58.84,6184.24,565.6
130,Madhya Pradesh,District_198,2012,628412,58717.9,15.78,61.57,5478.88,1223.09
131,Andhra Pradesh,District_45,2021,655228,47140.88,19.28,85.12,9571.34,1138.89
132,Tripura,District_179,2015,818532,27080.13,7.75,95.28,7952.46,1063.48
133,Gujarat,District_44,2021,1536414,13192.52,17.42,59.45,808.74,1062.08
134,Himachal Pradesh,District_271,2024,1771220,8221.21,2.36,57.51,7042.9,446.47
135,Telangana,District_78,2016,458192,104.68,9.35,55.92,1071.24,1404.86
136,Andhra Pradesh,District_178,2017,962527,16524.75,12.12,48.49,3230.95,1213.98
137,Kerala,District_3,2014,445925,32912.84,19.66,62.63,5550.22,318.69
138,Haryana,District_214,2019,1437512,19499.11,8.78,70.96,4957.23,993.57
139,Telangana,District_74,2015,1807043,24725.23,11.62,72.25,6933.38,233.18
140,Karnataka,District_51,2021,1523345,31242.29,15.89,81.46,8100.3,866.88
141,Odisha,District_67,2010,1370244,24667.9,15.79,43.15,8293.87,434.36
142,Mizoram,District_93,2015,1680621,57972.44,13.19,73.68,583.43,158.76
143,Haryana,District_176,2018,614337,39343.23,8.55,55.3,6416.59,905.16
144,Assam,District_145,2019,2671414,1555.98,16.91,54.35,9613.78,1326.56
145,Assam,District_7,2013,2279702,18141.19,21.01,87.38,7550.23,211.93
146,Andhra Pradesh,District_269,2023,845200,56775.56,4.27,49.21,5199.08,1348.7
147,Uttarakhand,District_4,2023,1789332,24081.43,8.84,59.75,9985.4,192.59
148,Chhattisgarh,District_138,2019,1888552,73612.14,16.88,78.26,439.92,1113.07
149,Jharkhand,District_231,2022,2098448,57016.0,19.02,78.57,881.62,1484.41
150,Gujarat,District_88,2010,1989130,23201.26,19.65,42.89,7681.44,141.43
151,Uttar Pradesh,District_17,2023,503909,41317.62,16.51,44.35,5497.52,319.79
152,Himachal Pradesh,District_52,2020,2777296,53382.45,12.22,79.32,1244.33,695.87
153,West Bengal,District_134,2018,2179830,15477.34,16.32,97.19,3753.19,1106.66
154,Gujarat,District_211,2013,1365855,19702.54,3.81,99.91,642.98,1346.96
155,Himachal Pradesh,District_219,2011,1078734,40574.83,5.59,99.23,5264.25,1093.94
156,Haryana,District_205,2010,76587,73992.33,23.22,61.09,1040.78,1157.06
157,Kerala,District_211,2012,926619,27527.39,23.09,54.51,69.09,678.75
158,Arunachal Pradesh,District_277,2016,1007064,32176.4,18.24,45.92,3224.31,534.37
159,Andhra Pradesh,District_24,2020,64317,15257.71,8.51,59.55,2338.75,762.14
160,Meghalaya,District_4,2019,2982810,47460.76,16.4,56.61,3621.04,974.64
161,Tamil Nadu,District_152,2011,830787,59214.66,17.35,74.61,3504.63,754.01
162,Tamil Nadu,District_259,2024,2986540,35256.97,13.12,62.13,6300.17,1185.7
163,Jammu & Kashmir,District_168,2018,703735,60022.45,18.84,53.89,6800.18,236.45
164,Telangana,District_176,2021,1559026,24215.35,1.23,76.75,1273.68,594.89
165,Chhattisgarh,District_291,2022,2045696,56561.68,6.78,59.38,4886.67,100.7
166,Assam,District_56,2020,727779,20674.98,19.96,61.22,8891.52,1007.49
167,Kerala,District_108,2011,1779293,62454.16,23.5,75.91,1484.19,1135.79
168,Haryana,District_296,2014,2110490,66453.02,21.96,47.09,9668.75,1001.41
169,Sikkim,District_141,2017,269621,63819.92,18.05,86.45,193.55,1432.78
170,Uttarakhand,District_155,2022,739031,17245.65,4.55,97.93,997.25,1398.28
171,Assam,District_262,2022,2406719,55543.01,9.53,69.45,1775.86,406.35
172,Andhra Pradesh,District_273,2021,2440269,43087.85,1.73,73.59,4697.99,365.52
173,Assam,District_232,2019,2019180,78883.1,16.18,63.08,2991.6,38.96
174,Chhattisgarh,District_241,2017,997542,28932.53,11.52,97.4,4181.76,754.35
175,Manipur,District_258,2012,1869244,61702.4,14.54,47.98,9408.12,1291.82
176,Maharashtra,District_249,2011,2233592,29612.55,24.49,88.81,3413.88,237.1
177,Assam,District_77,2018,817271,31754.63,10.36,79.03,8481.18,890.48
178,Andhra Pradesh,District_180,2012,1695401,8888.26,8.01,87.49,728.17,1080.83
179,Chhattisgarh,District_66,2017,2738342,19180.5,4.19,97.03,8119.47,552.16
180,Uttar Pradesh,District_171,2011,892483,13167.1,4.02,69.77,9015.6,1054.71
181,Tamil Nadu,District_22,2012,2044178,12744.45,13.21,57.3,2850.06,1256.14
182,Maharashtra,District_107,2010,536427,731.23,18.86,86.77,5471.03,16.75
183,Gujarat,District_227,2023,2784653,63504.52,14.33,90.67,1871.69,1103.11
184,Uttarakhand,District_216,2020,2472610,37439.82,21.9,81.18,908.65,900.16
185,Himachal Pradesh,District_69,2015,2428558,64335.36,8.24,90.94,7704.04,1267.41
186,Manipur,District_84,2022,1715640,49007.91,15.08,83.82,6298.34,208.77
187,Manipur,District_103,2016,1851983,66508.7,16.7,97.45,7522.46,1210.84
188,Uttar Pradesh,District_39,2013,1561539,40306.16,7.38,74.24,4396.92,212.63
189,Jharkhand,District_13,2010,2187136,7532.34,10.21,62.83,2496.14,877.74
190,West Bengal,District_297,2012,2714806,49344.92,14.98,80.83,4268.56,407.06
191,Madhya Pradesh,District_181,2018,1230971,54224.41,1.01,44.15,648.0,360.77
192,Odisha,District_268,2014,1339646,50124.07,22.22,69.9,2835.34,748.61
193,Gujarat,District_13,2015,101538,64108.89,3.22,86.4,2975.3,1136.24
194,Mizoram,District_120,2013,2215269,58522.62,1.67,50.14,7145.28,968.19
195,Punjab,District_57,2010,2901917,34616.27,5.77,64.02,531.45,1482.85
196,Delhi,District_40,2023,2381238,65530.1,12.81,61.02,2452.79,179.47
197,Bihar,District_128,2014,2837732,55346.01,8.55,60.1,2766.18,1082.92
198,Jammu & Kashmir,District_173,2014,2062704,9638.14,11.28,79.04,5513.65,84.15
199,Chhattisgarh,District_35,2014,1993527,43194.43,2.56,69.85,2447.02,536.82
200,Tamil Nadu,District_259,2024,527894,58287.18,6.21,87.84,1324.38,515.91
201,Gujarat,District_5,2015,219062,44267.52,2.89,43.47,2579.88,385.06
202,Madhya Pradesh,District_218,2020,2037666,75922.8,6.13,67.23,4218.89,799.07
203,Manipur,District_11,2011,1008462,8128.29,17.73,40.84,5254.81,366.21
204,Karnataka,District_117,2010,2910114,57788.51,14.59,53.25,365.79,551.99
205,Delhi,District_184,2024,1134868,65957.82,8.68,86.52,3098.18,1289.38
206,Bihar,District_116,2011,2827070,56215.23,6.9,46.36,7641.71,486.25
207,Madhya Pradesh,District_162,2022,2143256,30852.94,24.94,46.33,5976.21,1478.95
208,Gujarat,District_67,2019,2104786,30844.57,19.31,64.09,4560.45,414.79
209,Uttarakhand,District_200,2015,2822722,46929.53,20.64,86.62,4529.77,1354.6
210,Odisha,District_31,2014,753041,31773.87,1.15,78.28,3689.06,647.48
211,Sikkim,District_75,2024,274432,70655.81,1.96,86.91,3420.51,1361.39
212,West Bengal,District_237,2014,2307752,8803.35,17.96,42.97,4006.42,640.76
213,Arunachal Pradesh,District_66,2021,2129157,51136.2,5.2,73.82,8692.08,1155.77
214,Jharkhand,District_70,2021,777871,10737.86,10.93,67.2,4688.37,600.6
215,Madhya Pradesh,District_297,2024,316968,43217.38,5.01,93.76,6692.75,931.73
216,Jammu & Kashmir,District_20,2015,344846,57249.34,4.84,84.24,8078.51,78.18
217,Tripura,District_226,2023,2326825,13249.22,3.17,65.46,4319.72,898.9
218,Rajasthan,District_199,2019,2548942,56325.62,15.06,73.23,8391.67,474.61
219,Goa,District_39,2016,1595662,11207.0,18.61,65.49,9926.83,1494.43
220,West Bengal,District_145,2018,458928,49648.09,1.89,66.47,5041.66,1216.12
221,West Bengal,District_45,2016,2786813,40449.19,7.25,78.04,4027.52,120.28
222,Kerala,District_91,2011,2681707,23853.02,16.63,52.99,8057.98,298.21
223,Kerala,District_238,2015,2105998,8932.78,10.11,59.99,6491.73,924.49
224,Punjab,District_70,2018,68571,58870.97,17.76,56.75,6131.99,451.34
225,Jammu & Kashmir,District_166,2016,1854489,30550.59,19.1,88.05,8861.26,320.14
226,Jammu & Kashmir,District_130,2011,2227060,6931.6,1.29,96.52,6494.58,534.19
227,Karnataka,District_214,2012,1620018,61825.42,9.83,64.86,6415.81,160.2
228,Uttar Pradesh,District_89,2017,187248,18639.25,18.36,44.63,2069.11,832.15
229,Tamil Nadu,District_252,2020,2231599,58918.8,9.77,45.61,6882.31,425.23
230,West Bengal,District_72,2018,1822236,45196.25,0.64,63.98,9129.99,1300.65
231,Tripura,District_165,2013,1585912,15570.38,8.74,63.7,5763.46,50.1
232,Gujarat,District_49,2018,1080962,6121.69,21.88,48.77,9033.74,527.06
233,Jammu & Kashmir,District_52,2011,2731234,47463.99,23.82,88.43,3395.77,824.85
234,Andhra Pradesh,District_289,2022,946357,2026.69,14.23,70.01,425.91,353.51
235,Andhra Pradesh,District_278,2020,2923297,5246.5,8.01,46.54,4451.34,86.97
236,Tripura,District_114,2014,2028770,56180.5,11.92,45.92,39.67,109.61
237,Uttarakhand,District_239,2020,1201439,43114.52,6.29,66.76,1548.25,239.83
238,Jammu & Kashmir,District_133,2011,1488365,26110.36,4.62,47.01,1906.0,408.56
239,Tripura,District_274,2020,1355619,43142.84,12.59,73.67,5338.4,1058.9
240,Punjab,District_166,2010,1668081,47336.03,18.55,63.1,9499.3,712.49
241,Madhya Pradesh,District_293,2022,249985,45227.22,5.95,95.18,198.28,50.35
242,Himachal Pradesh,District_243,2023,115295,51407.9,22.78,65.13,2366.97,233.39
243,Assam,District_138,2014,2676085,75223.65,4.62,76.87,9694.54,552.52
244,Gujarat,District_79,2011,397435,31108.31,14.18,88.68,8816.54,630.24
245,Goa,District_170,2023,2499236,24099.1,19.52,58.17,8348.52,95.66
246,Haryana,District_123,2022,1360014,3084.41,5.73,70.71,918.09,182.47
247,Uttarakhand,District_176,2016,867028,11774.37,7.76,47.26,6441.02,394.03
248,Himachal Pradesh,District_300,2017,403649,8508.92,1.76,65.97,2031.43,1255.15
249,Jammu & Kashmir,District_82,2011,416038,26842.18,23.63,62.55,6510.28,314.59
250,Chhattisgarh,District_87,2016,1611984,48803.16,12.43,65.69,4275.37,340.97
251,Andhra Pradesh,District_225,2013,1749940,3716.25,2.08,46.44,6356.73,742.29
252,Odisha,District_16,2010,2123446,58215.92,20.84,63.9,4288.67,1337.31
253,Jharkhand,District_163,2020,1137876,31800.66,14.45,92.22,9077.05,792.75
254,Kerala,District_98,2024,206168,77080.73,1.85,96.22,253.18,119.96
255,Telangana,District_156,2012,873551,45475.11,11.55,54.5,1915.74,280.47
256,Manipur,District_2,2020,872528,61711.27,11.14,58.03,8329.99,1283.85
257,Uttarakhand,District_169,2021,664784,68895.89,4.08,40.57,7367.52,1315.26
258,Sikkim,District_92,2010,45615,71108.82,10.8,46.93,1863.01,1193.38
259,Telangana,District_181,2014,1080439,41481.76,7.43,60.71,1214.45,813.21
260,Himachal Pradesh,District_231,2024,2729541,31745.44,17.65,81.11,3112.68,659.29
261,Punjab,District_148,2022,1405166,44845.59,0.63,57.53,4818.74,403.07
262,Mizoram,District_280,2017,641901,32171.61,3.11,44.52,469.48,822.14
263,Jammu & Kashmir,District_189,2010,486156,19264.79,23.01,83.85,8455.9,1024.55
264,Mizoram,District_128,2023,122456,25920.35,11.12,68.01,5209.57,899.28
265,Uttar Pradesh,District_7,2018,171247,18629.26,4.82,71.15,9194.84,339.11
266,Punjab,District_47,2012,593160,21562.32,19.93,59.56,3257.12,1354.75
267,Kerala,District_53,2014,991831,7497.68,21.36,76.78,488.4,586.26
268,Jammu & Kashmir,District_187,2018,188517,34122.75,5.67,93.45,8713.62,1327.45
269,Gujarat,District_38,2014,1105574,18830.36,17.98,73.23,1496.26,596.78
270,Arunachal Pradesh,District_226,2018,2421290,35874.84,15.57,75.25,3356.49,58.64
271,Assam,District_53,2019,2285687,63377.94,18.75,62.41,4643.46,1107.19
272,Mizoram,District_224,2017,64895,35870.51,19.8,44.96,4919.52,1380.29
273,Chhattisgarh,District_154,2016,997669,76369.4,16.69,65.71,234.91,382.89
274,Mizoram,District_48,2020,2648430,11835.47,23.93,95.48,5267.47,814.18
275,Telangana,District_147,2010,1489372,68022.7,21.67,80.81,770.41,1211.62
276,Mizoram,District_64,2013,1848681,19868.17,6.11,69.41,3268.48,482.31
277,Uttarakhand,District_182,2018,174271,74715.34,22.88,77.25,9754.72,429.98
278,Mizoram,District_125,2019,1347907,18179.56,9.31,73.51,2803.78,617.19
279,Arunachal Pradesh,District_179,2017,2565282,59759.47,18.3,94.74,8128.74,826.31
280,Arunachal Pradesh,District_39,2013,2912137,4978.81,21.28,53.43,5103.24,829.25
281,West Bengal,District_260,2021,712647,50388.78,11.19,93.32,2024.23,730.05
282,Sikkim,District_3,2010,2408076,17501.75,1.76,81.31,7219.39,1230.69
283,Tamil Nadu,District_64,2019,1158370,53617.1,23.77,47.66,5551.44,230.23
284,Chhattisgarh,District_29,2013,1817803,50869.99,2.28,62.31,5330.38,128.66
285,Andhra Pradesh,District_11,2024,1135734,73896.43,9.03,66.18,299.12,253.67
286,Andhra Pradesh,District_97,2012,2804952,50137.85,15.11,44.98,3338.52,1056.3
287,Odisha,District_203,2015,1097886,32665.82,3.38,73.25,7347.09,218.72
288,Jammu & Kashmir,District_21,2020,1290472,15493.49,21.04,55.56,7960.89,484.92
289,Arunachal Pradesh,District_39,2014,1621817,52599.51,5.48,67.49,8148.09,1319.64
290,Rajasthan,District_223,2014,1320707,9318.16,24.66,66.33,374.03,211.2
291,Kerala,District_102,2011,2849110,66283.06,22.95,71.3,1627.2,792.73
292,Uttar Pradesh,District_46,2021,2803029,19794.29,15.31,90.77,9855.77,759.56
293,Goa,District_66,2012,561744,41937.47,16.67,86.85,1554.55,52.04
294,Tamil Nadu,District_91,2020,1696627,47679.82,13.57,92.38,2130.23,174.01
295,Bihar,District_164,2015,2557605,29005.57,10.08,74.34,8026.26,1425.64
296,Tamil Nadu,District_111,2011,2848356,53113.26,9.12,76.95,3934.44,1441.58
297,Karnataka,District_123,2024,1138974,20024.85,22.35,65.83,1163.25,1312.11
298,Telangana,District_193,2013,2306430,2779.62,14.63,83.03,1251.03,648.36
299,Uttarakhand,District_99,2011,646471,76741.83,20.67,52.29,837.86,889.82
300,Mizoram,District_291,2018,2454078,25610.47,13.09,68.51,1806.77,1236.4
301,Goa,District_159,2012,1607545,57079.84,8.02,82.85,4969.88,1014.54
302,Telangana,District_103,2019,2896907,40607.61,2.75,86.67,150.84,1342.8
303,Chhattisgarh,District_281,2019,101123,53523.2,8.43,54.88,1171.4,474.3
304,Punjab,District_43,2015,1144930,8883.81,22.06,50.89,9071.24,936.6
305,Arunachal Pradesh,District_84,2024,459048,41512.64,17.94,57.31,8765.83,850.99
306,Goa,District_191,2010,1209895,31383.64,19.75,95.21,8330.82,1476.91
307,Sikkim,District_51,2022,1414528,36153.45,19.45,47.75,7062.85,1317.24
308,Karnataka,District_210,2020,1552563,77297.0,3.44,97.19,6615.25,248.62
309,Meghalaya,District_126,2023,1268724,10911.75,4.39,99.69,2755.23,89.28
310,Meghalaya,District_69,2024,275628,60378.47,8.27,87.01,3350.01,670.16
311,Andhra Pradesh,District_265,2024,2263906,26434.12,7.88,85.63,2358.1,818.73
312,Himachal Pradesh,District_258,2019,1648323,23235.74,2.12,97.2,9803.14,1185.01
313,West Bengal,District_188,2012,132162,21669.48,4.26,57.43,6343.08,240.43
314,Uttarakhand,District_230,2017,348600,27909.04,21.48,47.74,9657.68,1379.97
315,Goa,District_189,2014,2014343,28575.79,14.93,89.39,2717.94,857.81
316,Meghalaya,District_10,2017,1730874,21667.05,8.89,50.26,6212.13,1264.28
317,Delhi,District_114,2024,2681330,53402.78,13.4,42.72,7589.53,1254.88
318,Assam,District_76,2011,2639759,3827.28,6.9,51.79,947.48,1427.84
319,Punjab,District_164,2016,2612851,26590.18,14.8,66.27,6669.64,988.44
320,West Bengal,District_85,2018,374841,22423.65,2.33,69.71,1690.81,1175.95
321,Uttarakhand,District_49,2016,131193,60115.93,22.61,43.75,3280.89,1230.97
322,Bihar,District_177,2012,929404,11728.42,6.39,66.6,7161.56,702.71
323,Odisha,District_218,2016,2169848,75255.56,20.57,76.26,4400.7,648.99
324,Uttar Pradesh,District_189,2024,323629,13649.78,16.67,95.91,9211.63,1419.98
325,Assam,District_230,2017,1175935,29608.49,13.31,53.64,2412.1,101.39
326,Odisha,District_255,2023,142293,15984.02,23.28,52.66,1537.9,1429.46
327,Punjab,District_236,2010,30294,22942.97,4.34,63.37,3371.79,868.15
328,Gujarat,District_26,2022,1194686,60884.37,3.42,99.02,8519.25,442.73
329,Punjab,District_72,2022,714009,38117.61,8.39,60.17,8474.26,836.25
330,Himachal Pradesh,District_261,2012,1994440,13014.43,20.84,42.63,3693.12,957.05
331,Andhra Pradesh,District_254,2014,2713904,3740.32,1.36,55.94,8098.44,167.07
332,Haryana,District_271,2021,2543537,18401.0,6.37,73.5,777.97,1005.22
